variable,max_lat_N,min_lat_S,max_long_E,min_long_W,start_time,end_time,temporal_resolution,spatial_resolution
10m_u_component_of_wind,90,40,180,-180,1965,1969,Y,1
10m_u_component_of_wind,-70,-90,180,-180,1965,1969,Y,1
10m_u_component_of_wind,90,40,180,-180,1970,1974,Y,1
10m_u_component_of_wind,-70,-90,180,-180,1970,1974,Y,1
10m_u_component_of_wind,90,40,180,-180,1975,1979,Y,1
10m_u_component_of_wind,-70,-90,180,-180,1975,1979,Y,1
10m_u_component_of_wind,90,40,180,-180,1980,1984,Y,1
10m_u_component_of_wind,-70,-90,180,-180,1980,1984,Y,1
10m_u_component_of_wind,90,40,180,-180,1985,1989,Y,1
10m_u_component_of_wind,-70,-90,180,-180,1985,1989,Y,1
